WorkerId, Name, Role, SallaryPerHour, JoinDate, LeftDate, BirthDate, Email
93,Diane Fleming,Archivist,53.70,2007-03-14,2011-09-19,1985-01-23,Diane-Fleming885@gmail.com
94,Elizabeth Hardy,Cleaner,93.22,2009-11-19,2013-05-13,1964-03-18,Elizabeth-Hardy126@hotmail.com
95,Eric Thomas,Curators,87.80,2020-03-13,2022-02-12,1991-10-19,Eric-Thomas961@hotmail.com
96,Gerald Mccarty,Cleaner,103.07,2017-12-13,2020-03-16,1996-08-23,Gerald-Mccarty606@gmail.com
97,Jessica Wilcox,Curators,96.12,2020-03-12,2021-09-05,1997-11-13,Jessica-Wilcox68@gmail.com
98,Karen Walls,Curators,118.67,1983-11-28,2006-10-25,1961-03-06,Karen_Walls496@gmail.com
99,Pam Fisher,Educator/Guide,77.72,2001-01-16,2016-12-05,1964-03-04,Pam_Fisher106@gmail.com
100,Adrian Lynch,Conservator,34.35,2003-05-16,2022-01-07,1981-12-29,Adrian-Lynch266@gmail.com
101,Heather Reed,Cleaner,43.91,2012-07-12,2017-02-20,1975-08-29,HeatherReed303@gmail.com
102,Lauren Salazar,Manager,50.16,2008-10-01,2014-07-19,1982-12-31,Lauren-Salazar183@walla.com
103,Michael Schwartz,Curators,77.89,2016-11-14,2020-07-17,1995-04-06,Michael-Schwartz890@gmail.com
104,Tonya Bailey,Registrar,102.32,2021-12-12,2021-12-15,1966-01-05,Tonya-Bailey680@outlook.com
105,Jeffrey Schmidt,Conservator,40.11,2020-08-16,2020-08-28,1986-01-14,JeffreySchmidt484@walla.com
106,Tracey Lee,Exhibit Designer,32.19,1989-05-26,1998-03-07,1960-09-09,Tracey_Lee445@outlook.com
107,Samantha Moss,Archivist,94.40,2010-07-26,2012-03-12,1981-02-25,Samantha_Moss935@outlook.com
108,Angela Ramirez,Educator/Guide,70.33,2020-03-06,2022-01-06,1998-07-20,AngelaRamirez274@gmail.com
109,Corey Marshall,Curators,109.44,1983-06-27,2014-01-18,1961-10-30,Corey_Marshall488@gmail.com
110,Denise Mclean,Conservator,57.03,2016-02-11,2020-04-28,1957-06-06,Denise_Mclean103@gmail.com
111,Brenda Monroe,Cleaner,53.90,1988-08-22,1993-09-12,1961-04-14,Brenda-Monroe624@gmail.com
112,Philip Davidson,Registrar,86.67,2013-07-23,2018-08-26,1981-03-19,PhilipDavidson925@outlook.com
113,Randy Simpson,Exhibit Designer,33.62,1993-07-13,2006-08-08,1961-10-27,Randy-Simpson584@gmail.com
114,Eugene Stewart,Conservator,31.54,2013-05-31,2018-08-07,1972-02-06,EugeneStewart635@outlook.com
115,Mary Valdez,Educator/Guide,58.69,2022-01-13,2022-01-14,1997-12-04,MaryValdez905@walla.com
116,Jennifer Potts,Guard,106.37,2014-08-22,2017-07-12,1957-12-08,Jennifer-Potts617@hotmail.com
117,Parker Lewis,Cleaner,60.14,2016-11-26,2021-10-05,1992-04-19,ParkerLewis895@hotmail.com
118,Kenneth Fischer,Archivist,32.37,2018-04-17,2021-03-10,1962-06-12,Kenneth_Fischer465@gmail.com
119,Glenda Barrera,Archivist,90.12,2017-01-12,2017-11-14,1994-02-07,Glenda-Barrera734@gmail.com
120,Sarah Knapp,Registrar,79.52,2010-02-03,2011-03-25,1970-10-27,SarahKnapp288@hotmail.com
121,Andrew Frederick,Manager,32.24,2020-08-12,2020-12-03,1987-06-15,Andrew_Frederick777@gmail.com
122,Susan Kirk,Manager,93.57,2020-05-08,2020-08-23,1999-03-28,SusanKirk855@gmail.com
123,Ricky Peterson,Educator/Guide,60.42,2009-11-24,2015-02-28,1983-07-14,RickyPeterson698@hotmail.com
124,Hannah Lewis,Manager,111.50,2019-11-04,2021-09-23,1998-06-27,Hannah-Lewis792@hotmail.com
125,Gregory Jones,Registrar,119.16,2011-11-15,2014-07-21,1964-03-20,Gregory-Jones147@gmail.com
126,Timothy Anderson,Exhibit Designer,76.01,2009-09-06,2017-05-05,1965-05-03,Timothy_Anderson569@gmail.com
127,Adam Bates,Exhibit Designer,62.74,2015-10-20,2020-03-17,1975-12-30,Adam_Bates27@outlook.com
128,Billy Scott PhD,Manager,82.70,1979-08-10,1982-02-24,1957-02-05,BillyScottPhD287@gmail.com
129,Carol Houston,Cleaner,66.42,2004-01-10,2017-10-07,1971-11-12,Carol-Houston863@outlook.com
130,Patrick Alvarado,Conservator,52.52,2015-03-24,2016-05-05,1960-11-21,Patrick-Alvarado528@gmail.com
131,Jessica Collins,Curators,76.70,2016-08-13,2021-07-19,1988-01-04,Jessica_Collins533@outlook.com
132,Brandy Cross,Educator/Guide,51.10,2017-09-05,2019-10-06,1995-03-22,Brandy_Cross418@gmail.com
133,Sarah Ryan,Conservator,36.55,2000-06-12,2014-12-28,1959-10-21,Sarah_Ryan980@gmail.com
134,Alicia Allen MD,Curators,48.27,2012-04-29,2016-11-03,1981-07-03,AliciaAllenMD677@outlook.com
135,Jonathan Wallace,Curators,86.66,2019-11-20,2020-02-28,1988-03-25,JonathanWallace869@hotmail.com
136,Kimberly Velez,Curators,96.45,2021-11-17,2022-01-18,2000-10-24,Kimberly-Velez38@outlook.com
137,Jonathan White,Cleaner,73.07,2013-12-27,2018-09-14,1981-09-18,JonathanWhite242@gmail.com
138,Jenny Curtis,Exhibit Designer,107.76,2006-02-18,2021-05-27,1977-02-21,JennyCurtis392@gmail.com
139,Daniel Jackson,Exhibit Designer,32.22,2020-01-11,2020-06-06,1967-11-14,Daniel-Jackson1@gmail.com
140,Kimberly Rodriguez,Registrar,116.83,2019-09-19,2019-11-16,1982-03-07,KimberlyRodriguez199@gmail.com
141,William Rose,Cleaner,45.50,2016-05-10,2021-10-26,1977-10-11,William_Rose711@gmail.com
142,Jacob Nelson MD,Curators,64.37,2018-11-24,2019-03-26,1997-01-01,Jacob-Nelson-MD308@gmail.com
143,Ashley Cook,Registrar,67.39,2019-03-17,2019-07-02,1997-05-11,Ashley-Cook232@hotmail.com
144,Connie Smith,Exhibit Designer,66.54,2012-03-06,2021-04-15,1972-01-12,Connie_Smith403@gmail.com
145,Grant Richards,Cleaner,48.72,2020-09-17,2022-02-11,1997-01-16,Grant_Richards515@gmail.com
146,Randall Munoz,Exhibit Designer,89.48,2017-04-23,2022-01-07,1993-03-08,RandallMunoz531@gmail.com
147,Michael Garcia,Exhibit Designer,104.96,2019-02-15,2019-03-11,1995-02-15,Michael_Garcia735@gmail.com
148,Greg Rogers,Exhibit Designer,113.55,2002-01-10,2009-09-14,1971-12-21,GregRogers942@walla.com
149,Jordan Santana,Registrar,97.24,2020-09-07,2021-10-30,1976-09-01,JordanSantana550@outlook.com
150,Robert Gordon,Archivist,87.84,2006-02-13,2016-09-16,1971-08-25,Robert-Gordon322@gmail.com
151,Mr. Richard Smith MD,Manager,105.66,2016-02-19,2019-05-09,1974-12-04,Mr._Richard_Smith_MD606@gmail.com
152,Phillip Bailey,Registrar,30.99,1997-01-11,2005-01-18,1967-07-01,Phillip_Bailey91@hotmail.com
153,Stephen Allen,Educator/Guide,59.17,2019-07-25,2021-06-06,1993-12-14,StephenAllen158@outlook.com
154,Amy Garcia,Archivist,116.44,2022-04-25,2022-05-01,2000-12-20,Amy_Garcia298@gmail.com
155,Courtney Ford,Manager,97.78,2011-05-08,2019-12-07,1968-04-16,Courtney-Ford86@gmail.com
156,Elizabeth Robbins,Curators,116.24,2019-03-28,2021-07-05,1996-09-11,Elizabeth-Robbins677@hotmail.com
157,Christine Buck,Conservator,30.05,1998-10-13,2014-04-04,1971-06-27,ChristineBuck13@gmail.com
158,Alexander Levine,Archivist,49.41,2008-09-07,2014-09-27,1968-08-28,Alexander-Levine205@gmail.com
159,Elizabeth Juarez,Exhibit Designer,53.00,2012-12-16,2016-01-30,1989-03-10,Elizabeth_Juarez882@gmail.com
160,Priscilla Thomas,Exhibit Designer,64.54,2017-07-10,2019-09-04,1995-04-24,PriscillaThomas955@gmail.com
161,Alexis Oconnor,Archivist,103.73,2016-04-23,2022-01-21,1991-01-16,Alexis_Oconnor834@outlook.com
162,Samantha Contreras,Cleaner,73.90,1989-12-08,2010-05-10,1955-04-15,Samantha-Contreras180@walla.com
163,Jimmy Arroyo,Archivist,33.34,2021-11-13,2022-01-12,1997-07-24,JimmyArroyo781@gmail.com
164,Gabrielle Bennett,Conservator,55.57,2011-07-28,2014-05-09,1986-05-27,GabrielleBennett567@gmail.com
165,Joanna Barnes,Educator/Guide,39.11,2014-11-25,2021-05-29,1984-02-22,JoannaBarnes851@gmail.com
166,Jason Smith,Manager,44.84,2019-03-12,2020-06-01,1998-02-28,JasonSmith681@gmail.com
167,Sara Wells,Cleaner,84.10,2021-10-11,2022-01-12,2000-07-20,Sara_Wells65@gmail.com
168,Amanda Dominguez,Registrar,82.86,2005-02-15,2010-07-11,1983-07-23,Amanda_Dominguez900@hotmail.com
169,William Meyer,Educator/Guide,110.91,2017-02-18,2021-02-26,1983-09-27,William_Meyer325@gmail.com
170,Elizabeth Dunlap,Guard,107.91,2021-01-03,2021-01-29,1976-06-16,Elizabeth-Dunlap130@gmail.com
171,Elizabeth Maxwell,Conservator,95.32,1996-04-04,2003-06-29,1966-02-20,ElizabethMaxwell792@gmail.com
172,Douglas Boyer,Cleaner,69.87,2016-11-28,2019-07-21,1977-07-16,Douglas_Boyer873@outlook.com
173,Richard Richardson,Manager,67.48,2012-07-06,2018-11-12,1978-05-12,Richard_Richardson178@gmail.com
174,David Strickland,Manager,73.90,2004-09-07,2017-05-20,1980-09-18,David_Strickland152@gmail.com
175,Margaret Bell,Curators,92.52,1997-08-03,2018-12-12,1956-11-15,Margaret-Bell761@gmail.com
176,Jordan Morris,Educator/Guide,52.40,1996-08-14,2012-10-08,1972-11-18,Jordan_Morris267@outlook.com
177,William Gutierrez DDS,Manager,94.93,2017-06-14,2018-06-10,1991-05-23,WilliamGutierrezDDS443@gmail.com
178,Emily Acevedo,Manager,44.85,2015-07-23,2020-02-05,1988-04-28,EmilyAcevedo373@gmail.com
179,Timothy Harper,Registrar,118.77,2012-12-07,2018-12-30,1989-07-25,Timothy_Harper970@gmail.com
180,Michael Leonard,Exhibit Designer,93.22,2022-04-26,2022-04-27,2000-03-29,Michael-Leonard63@walla.com
181,Annette Martin,Exhibit Designer,95.34,2020-01-30,2021-01-18,1996-11-15,Annette_Martin842@gmail.com
182,Jenny Castro,Conservator,98.47,2017-05-10,2019-04-20,1957-11-12,Jenny-Castro297@outlook.com
183,James Martin,Registrar,99.95,1995-08-05,1997-08-08,1962-01-28,James-Martin207@gmail.com
184,Cindy Thompson,Manager,55.48,1999-01-24,2007-04-29,1978-01-22,Cindy_Thompson37@gmail.com
185,Jackie Singh,Curators,119.16,2001-06-02,2004-07-13,1966-01-12,JackieSingh559@gmail.com
186,Beth Camacho DVM,Archivist,35.53,2016-11-05,2019-02-07,1986-10-15,Beth_Camacho_DVM44@gmail.com
187,Adriana Schmitt,Manager,77.90,1980-10-27,1983-03-21,1956-10-22,Adriana_Schmitt916@hotmail.com
188,Victoria Carlson,Educator/Guide,40.92,1989-11-13,2020-12-25,1962-04-01,Victoria_Carlson681@outlook.com
189,Kevin Ramirez,Manager,76.23,2001-03-09,2005-04-03,1960-04-13,Kevin-Ramirez574@gmail.com
190,Richard Pierce,Curators,93.88,2017-04-24,2017-09-05,1993-10-04,Richard-Pierce715@gmail.com
191,Theodore Wagner,Guard,85.68,2020-11-03,2021-05-16,1997-08-06,Theodore-Wagner843@hotmail.com
192,Daniel Martinez,Manager,84.13,2021-11-23,2022-05-01,1988-11-17,Daniel-Martinez312@gmail.com
193,Ashley Dawson,Exhibit Designer,81.51,1992-11-26,1992-12-10,1970-07-21,AshleyDawson272@hotmail.com
194,Adam Hopkins,Curators,86.98,1981-06-23,1985-10-20,1953-04-22,Adam_Hopkins205@gmail.com
195,Leslie Miller,Registrar,90.76,2004-06-08,2017-05-20,1972-06-15,LeslieMiller86@gmail.com
196,William Spence,Conservator,33.14,1993-08-03,2006-12-07,1971-04-09,William-Spence61@walla.com
197,Geoffrey Salinas,Educator/Guide,103.58,2021-10-10,2021-11-28,1984-12-08,GeoffreySalinas75@outlook.com
198,Michael Lopez,Curators,59.76,1983-05-04,1996-01-05,1961-11-17,Michael_Lopez449@walla.com
199,Drew Lewis,Educator/Guide,49.53,2018-03-22,2019-02-03,1992-03-17,Drew_Lewis951@outlook.com
200,Paul Carney,Curators,70.41,2009-04-17,2019-06-21,1985-02-16,Paul-Carney651@gmail.com
201,Donald Sawyer,Cleaner,113.45,2020-11-10,2021-03-19,1998-02-01,Donald-Sawyer167@hotmail.com
202,Kimberly Fisher,Exhibit Designer,49.51,2021-03-27,2021-05-05,1993-07-15,Kimberly-Fisher702@gmail.com
203,William Brown,Archivist,92.71,1994-09-30,2001-05-18,1961-04-25,William-Brown13@gmail.com
204,Michelle Montes,Curators,109.50,2013-03-16,2017-03-08,1976-04-24,MichelleMontes492@gmail.com
205,Jill Watts,Archivist,114.79,2005-12-23,2021-04-02,1972-10-30,JillWatts303@gmail.com
206,Justin Lowe,Registrar,84.88,2018-06-23,2021-12-11,1995-10-03,JustinLowe128@gmail.com
207,Thomas Lawson,Conservator,77.92,2018-11-30,2021-02-25,1971-04-10,Thomas_Lawson627@gmail.com
208,Jose Sanchez,Curators,103.98,2021-03-20,2021-06-12,1997-03-22,JoseSanchez365@gmail.com
209,Alex Mitchell,Archivist,103.37,2011-05-19,2013-04-13,1973-06-11,AlexMitchell639@gmail.com
210,Kaitlyn Mcdowell,Conservator,42.95,1998-03-01,1999-12-15,1968-09-28,Kaitlyn-Mcdowell466@hotmail.com
211,Crystal Byrd,Manager,30.37,2005-08-19,2022-03-11,1981-06-02,Crystal-Byrd768@outlook.com
212,James Smith,Cleaner,58.53,2022-04-18,2022-05-06,2001-01-12,James-Smith947@outlook.com
213,Matthew Gonzalez,Guard,52.30,2006-02-07,2021-04-07,1961-09-07,Matthew-Gonzalez427@gmail.com
214,Julia Stone,Cleaner,116.54,2007-01-28,2015-01-31,1964-12-06,JuliaStone64@outlook.com
215,Matthew Kidd,Guard,53.12,2000-12-16,2020-10-03,1971-11-09,Matthew-Kidd657@gmail.com
216,James Martinez,Conservator,67.08,2011-03-11,2012-12-13,1987-07-11,James_Martinez798@gmail.com
217,Shelly Hinton,Manager,103.78,1985-04-25,1995-12-17,1962-08-25,Shelly-Hinton594@gmail.com
218,Crystal Adams,Curators,82.96,1989-09-16,2021-01-17,1965-04-26,Crystal_Adams778@gmail.com
219,Tiffany Craig,Archivist,94.88,1998-06-01,2001-07-02,1957-11-25,Tiffany_Craig278@gmail.com
220,Christopher Ramirez,Conservator,30.21,2008-07-14,2014-01-01,1978-11-02,ChristopherRamirez569@gmail.com
221,Stacy Rasmussen,Cleaner,41.72,2021-03-13,2022-02-12,1984-11-18,Stacy_Rasmussen237@hotmail.com
222,Caitlin Richards,Manager,62.14,2010-01-07,2013-05-10,1957-12-31,Caitlin_Richards793@walla.com
223,Craig Butler,Educator/Guide,31.72,2002-04-06,2010-10-30,1972-10-01,CraigButler3@gmail.com
224,Veronica Livingston,Manager,94.41,2006-11-24,2018-09-06,1979-06-05,Veronica_Livingston598@gmail.com
225,Charles Tucker,Manager,31.67,1982-08-18,2010-09-05,1955-12-06,Charles_Tucker100@gmail.com
226,Stephen Farrell,Registrar,85.42,2016-02-15,2019-07-24,1964-09-19,StephenFarrell798@gmail.com
227,Matthew Alvarado,Exhibit Designer,48.88,2000-04-21,2021-04-26,1966-04-19,Matthew_Alvarado934@outlook.com
228,Joann Rogers,Educator/Guide,58.76,2021-10-08,2022-03-03,2000-08-15,JoannRogers617@gmail.com
229,Rachel Wright,Manager,94.14,2001-01-07,2010-09-20,1972-07-24,RachelWright761@gmail.com
230,Joseph Young,Conservator,37.46,2001-08-24,2021-08-17,1970-06-08,Joseph-Young49@hotmail.com
231,Juan Pratt,Manager,46.97,2010-12-06,2015-05-22,1979-05-27,Juan_Pratt755@outlook.com
232,Mr. Andrew Cain,Educator/Guide,69.65,2019-11-12,2020-12-26,1998-03-11,Mr.AndrewCain622@outlook.com
233,Andrew Nunez,Exhibit Designer,33.37,2021-12-20,2022-04-25,1999-05-27,Andrew_Nunez477@gmail.com
234,Amanda Watts,Curators,81.53,2018-12-13,2019-05-30,1997-12-07,Amanda-Watts957@gmail.com
235,Robert Greene,Cleaner,117.17,2013-10-09,2017-10-01,1959-01-29,Robert_Greene755@gmail.com
236,Terry Warren,Archivist,70.54,1988-01-05,2012-03-01,1956-10-13,Terry-Warren527@gmail.com
237,Melissa Morse,Archivist,56.48,2016-05-26,2021-10-08,1965-02-21,MelissaMorse809@gmail.com
238,Steven Jordan,Conservator,104.79,2015-12-25,2019-03-01,1991-04-02,Steven-Jordan950@outlook.com
239,Matthew Smith,Cleaner,97.17,2008-09-14,2019-10-29,1976-09-30,Matthew-Smith204@outlook.com
240,Sean Johnson,Curators,70.85,2005-10-17,2011-11-15,1969-12-20,Sean_Johnson814@gmail.com
241,Kayla Brown,Manager,35.60,1987-07-03,1990-10-10,1961-03-27,Kayla_Brown915@gmail.com
242,Vanessa Mercado,Curators,96.76,2009-09-14,2010-02-17,1978-10-29,Vanessa_Mercado479@outlook.com
